,index,tweet_text,emotion_in_tweet_is_directed_at,label,tweet_text_cln,alt_label,class,pred_label,pred_scores
18,18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive emotion,"Just added my flights to Matching people on planes/airports. Also downloaded the iPhone app, nicely done.",POS,2,POS,0.6630206108093262
19,19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive emotion,"Must have app! RT Lovely review from Forbes for our SXSW iPad app Holler Gram - ,",POS,2,POS,0.9887957572937012
20,20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive emotion,Need to buy an iPad2 while I'm in Austin at Not sure if I'll need to Q up at an Austin Apple store?,POS,2,NEU,0.7913745045661926
21,21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive emotion,"Oh. My. God. The app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",POS,2,POS,0.9779688715934753
22,22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,"Okay, this is really it: yay new for app!!!!11 kthxbai.",POS,2,POS,0.9889888167381287
23,23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,"Photo: Just installed the iPhone app, which is really nice! ,",POS,2,POS,0.9890661239624023
24,24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at,POS,2,POS,0.9880855083465576
25,25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,"RT I'm looking forward to the pre party Wed., and hoping I'll win an resulting from my shameless promotion.",POS,2,POS,0.9393125772476196
26,26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,"RT haha, awesomely rad iPad app by , (via",POS,2,POS,0.9903984069824219
27,27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,"someone started an group in google groups, pre-#sxsw. great idea",POS,2,POS,0.9630572199821472
28,28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,"The new looks like it is going to rock. Update for iPhone and Android should push tonight ,",POS,2,POS,0.950928807258606
29,29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,"They were right, the 3 app on is sweeeeet! Nice job by the team there.",POS,2,POS,0.9926008582115173
30,30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,"Very smart from iPad app for , (may leave my vuvuzela at home now)",POS,2,POS,0.9867217540740967
31,31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,"You must have this app for your iPad if you are going to ,",POS,2,NEU,0.8654926419258118
32,32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,No emotion toward brand or product,"Attn: All frineds, Register for and see Cobra iRadar for Android. {link}",NEU,1,NEU,0.5358737111091614
33,33,Anyone at  #sxsw want to sell their old iPad?,,No emotion toward brand or product,Anyone at want to sell their old iPad?,NEU,1,NEU,0.9143552780151367
34,34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,No emotion toward brand or product,Anyone at who bought the new iPad want to sell their older iPad to me?,NEU,1,NEU,0.766821026802063
35,35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,No emotion toward brand or product,"At Oooh. RT Google to Launch Major New Social Network Called Circles, Possibly Today {link}",NEU,1,NEU,0.7095870971679688
36,36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,The best! RT Ha! First in line for at &quot;pop-up&quot; Apple store was an event planner,POS,2,POS,0.9885880947113037
37,37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,No emotion toward brand or product,SPIN Play - a new concept in music discovery for your iPad from &amp; spin.com {link},NEU,1,NEU,0.7043426632881165
38,38,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,- False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link},NEG,0,NEG,0.7946494221687317
39,39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,No emotion toward brand or product,VatorNews - Google And Apple Force Print Media to Evolve? {link},NEU,1,NEU,0.8523863554000854
40,40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,- Great weather to greet you for Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,POS,2,POS,0.963864803314209
41,41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",,No emotion toward brand or product,"HootSuite - HootSuite Mobile for ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",NEU,1,NEU,0.8514947891235352
42,42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,,No emotion toward brand or product,Hey - How long do you think it takes us to make an iPhone case? answer using and weÛªll make you one!,NEU,1,NEU,0.9105735421180725
43,43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,No emotion toward brand or product,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] {link},NEU,1,POS,0.8087941408157349
44,44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product,For I-Pad ?RT New for now in the App Store includes UberGuide to sponsored by ... {link},NEU,1,NEU,0.5218371152877808
45,45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion,'s Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link},POS,2,NEU,0.5746335387229919
46,46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,Positive emotion,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app {link},POS,2,NEU,0.9713724255561829
47,47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For | {link},POS,2,POS,0.873223066329956
48,48,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,,No emotion toward brand or product,Orly....? ÛÏ@mention Google set to launch new social network today at,NEU,1,NEU,0.9020891189575195
49,49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive emotion,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight.,POS,2,POS,0.9811074733734131
50,50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform,NEU,1,NEG,0.7848385572433472
51,51,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,No emotion toward brand or product,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM",NEU,1,NEU,0.8454819321632385
52,52,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,÷¼ WHAT? ÷_ {link} ã_,NEU,1,NEU,0.9704850912094116
53,53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,No emotion toward brand or product,".@mention on the location-based 'fast, fun and future' - {link} (via",NEU,1,POS,0.9533291459083557
54,54,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,,No emotion toward brand or product,ÛÏ@mention Will Connect the Digital &amp; Physical Worlds Through Mobile - {link},NEU,1,NEU,0.5517060160636902
55,55,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive emotion,ÛÏ@mention talking about {link} - Google's effort to allow users to have open systems,POS,2,NEU,0.9253644347190857
56,56,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product,"{link} RT &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, panel at",NEU,1,NEU,0.9030653834342957
57,57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,{link} RT 1st stop on the &amp; hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,POS,2,POS,0.5694978833198547
58,58,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,No emotion toward brand or product,{link} RT Those at check out the Holler Gram ipad app from {link},NEU,1,NEU,0.9817922711372375
59,59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,No emotion toward brand or product,&amp; having fun at [pic] {link},NEU,1,POS,0.9833471179008484
60,60,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,No emotion toward brand or product,&quot;via : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! &quot;,NEU,1,POS,0.924888551235199
61,61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product,"{link} spec for recipes on the web, now in google search: {link}",NEU,1,NEU,0.9044808745384216
62,62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,RT Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link},POS,2,NEU,0.7430660128593445
63,63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,"RT I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up",NEU,1,POS,0.8322465419769287
64,64,Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion,Again? RT Line at the Apple store is insane..,NEG,0,NEU,0.848957359790802
65,65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,No emotion toward brand or product,Agree. RT Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album.,NEU,1,NEG,0.7473104596138
66,66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,No emotion toward brand or product,At / wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,NEU,1,POS,0.752373456954956
67,67,attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,attending iPad design headaches {link},NEG,0,NEU,0.7094954252243042
68,68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion,"Boooo! RT Flipboard is developing an iPhone version, not Android, says",NEG,0,NEG,0.811926543712616
69,69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,Check out &amp; in line for their iPad 2 in Austin. Power to them! {link},POS,2,POS,0.9872320890426636
70,70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product,Check! RT giving added value to location based services needs to battle check-in fatigue,NEU,1,POS,0.8690118789672852
71,71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,No emotion toward brand or product,Chilcott: stand talking with Blogger staff. Too late to win competition for best tweet mentioning So no t-shirt.,NEU,1,NEG,0.7258892059326172
72,72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,"Do it. RT Come party w/ Google tonight at {link} - Bands, food, art, ice cream, nifty interactive maps!",POS,2,POS,0.9848765134811401
73,73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,No emotion toward brand or product,Gowalla's promises to launch Foursquare check-in + Groupon rewards-type service at Finger's crossed. {link},NEU,1,NEU,0.8685734868049622
74,74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,No emotion toward brand or product,"Ha.ha. RT News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",NEU,1,NEG,0.7712353467941284
75,75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,Holla! RT At google party. Best ever! Get your butt over here.,POS,2,POS,0.9917994737625122
76,76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,I love my iPhone case from but I can't get my phone out of it,POS,2,POS,0.9782309532165527
77,77,I worship @mention {link} #SXSW,,No emotion toward brand or product,I worship {link},NEU,1,POS,0.9866214990615845
78,78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,No emotion toward brand or product,"iPad2? RT Droid &amp; Mac here :) RT My confession, using laptop, iPad &amp; blackberry to follow",NEU,1,POS,0.7795729041099548
79,79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,No emotion toward brand or product,"Launching RT Denies Social Network Called Circles Will Debut Today, Despite Report {link}",NEU,1,NEU,0.5599954724311829
80,80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,New Post: iPhone app makes it easy to connect on all social networks with people you meet {link},POS,2,POS,0.8331255912780762
81,81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,Nice that iPhone app is behaving today. Crashes yesterday were ridiculous.,POS,2,NEG,0.5292341113090515
82,82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product,Nice! RT Apple opening popup store for iPad launch in downtown Austin during {link} via,NEU,1,POS,0.9315015077590942
83,83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,"Nice!! RT Hey, Apple fans! Get a peek at the space that's slated to be a pop-up Apple Store tomorrow: {link}",POS,2,POS,0.9713146090507507
84,84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,"one thing is doing so great is get a great, down to earth face to Google as a company - You can only love her",POS,2,POS,0.9927319884300232
85,85,Stay tune @mention showcase #H4ckers {link} #SXSW,,No emotion toward brand or product,Stay tune showcase {link},NEU,1,NEU,0.9511412382125854
86,86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,No emotion toward brand or product,Thank you for the preso . Here's their deck {link},NEU,1,POS,0.50132155418396
87,87,Thank you @mention for an awesome #sxsw party! {link},,No emotion toward brand or product,Thank you for an awesome party! {link},NEU,1,POS,0.9922676682472229
88,88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,No emotion toward brand or product,Thanks RT If you're trying to contact friends or family in has created a person finder: {link},NEU,1,NEU,0.8066574931144714
89,89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,Thanks to for her mention of our new iPad apps being showcased at the Conf. {link},POS,2,POS,0.9796271324157715
91,91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product,Thanks to for publishing the news of our new medical Apps in the conf. blog {link},NEU,1,POS,0.9509301781654358
92,92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,What !?!? does not provide iPhone chargers?!? I've changed my mind about going next year!,NEG,0,NEG,0.8153749108314514
93,93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,No emotion toward brand or product,Wonder if &amp; will be in the apple flashmob: tcrn.ch/fcs45j,NEU,1,NEU,0.6545995473861694
94,94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,No emotion toward brand or product,Wonder if is putting tips from the API...,NEU,1,NEU,0.976500928401947
95,95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,"XMAS!! RT Shiny new apps, a new book, pop-up iPad 2 stores... is Christmas for nerds.",POS,2,POS,0.9917389154434204
96,96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,Yai!!! RT New for now in the App Store includes UberGuide to sponsored by (cont) {link},POS,2,POS,0.873495876789093
97,97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,No emotion toward brand or product,"Yes!!! RT hey , i've got another gem for you --&gt; free sxsw {link}",NEU,1,POS,0.9883471131324768
98,98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,"Fast, Fun &amp; Future: of Google presenting at on search, local and mobile",POS,2,POS,0.9599958658218384
99,99,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,No emotion toward brand or product,GSD&amp;M &amp; Google's Industry Party Tonight - See u there! {link},NEU,1,POS,0.9453923106193542
100,100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,No emotion toward brand or product,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt",NEU,1,NEU,0.754183828830719
101,101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,Headline: &quot;#iPad 2 is the Must-Have Gadget at Hmm... I could have seen that one coming! {link},POS,2,POS,0.9156100749969482
103,103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,Negative emotion,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'.,NEG,0,NEU,0.7627149820327759
104,104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future.",POS,2,POS,0.7627324461936951
105,105,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,No emotion toward brand or product,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. (via",NEU,1,POS,0.754435122013092
106,106,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,Positive emotion,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, panel at",POS,2,NEU,0.9410576820373535
107,107,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,No emotion toward brand or product,"Attending &quot;left brain search = Google, Right brain search = X&quot; -- talking about the future of search engines at",NEU,1,NEU,0.5726122260093689
108,108,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,No emotion toward brand or product,opens &quot;Mobile Park&quot; &amp; Content Incubator at {link} constructs &quot;pop-up&quot; store {link},NEU,1,NEU,0.9131742119789124
109,109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot;",POS,2,NEU,0.7657833099365234
110,110,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,No emotion toward brand or product,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days.,NEU,1,POS,0.967568039894104
111,111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. via,POS,2,POS,0.9599793553352356
112,112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,Positive emotion,Spark for is up for a award at read about it here: {link},POS,2,NEU,0.8356251120567322
113,113,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,No emotion toward brand or product,"Unboxing. Apple Store, SXSW {link}",NEU,1,NEU,0.8026264905929565
114,114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,"and iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma.",POS,2,POS,0.5637764930725098
115,115,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,No emotion toward brand or product,At schools the experts | SXSW - CNET Blogs {link},NEU,1,NEU,0.701306164264679
116,116,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,At schools the marketing experts - {link},POS,2,NEU,0.9491913914680481
117,117,"At #SXSW, #Apple schools the marketing experts {link}",,No emotion toward brand or product,At schools the marketing experts {link},NEU,1,NEU,0.9209302067756653
118,118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,"Temporary store is def not a tent, it's a powerhouse gym {link}",POS,2,NEU,0.5250020623207092
119,119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,"Temporary store on 6th and Congress for along with 10,000 very happy hipsters.",POS,2,POS,0.9535542130470276
120,120,ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,ÛÏ@mention wins {link} Opening a temporary store in downtown Austin to support launch - That is good.,POS,2,POS,0.988201916217804
