,index,tweet_text,emotion_in_tweet_is_directed_at,label,alt_label,class,pred_label,pred_scores
16,16,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,No emotion toward brand or product,NEU,1,NEU,0.6804779767990112
17,17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative emotion,NEG,0,NEU,0.6039599180221558
18,18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive emotion,POS,2,POS,0.9008272886276245
19,19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive emotion,POS,2,POS,0.9875823259353638
20,20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive emotion,POS,2,NEU,0.5387473702430725
21,21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive emotion,POS,2,POS,0.9881724715232849
22,22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,POS,2,POS,0.9878697991371155
23,23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,POS,2,POS,0.9847955703735352
24,24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,POS,2,POS,0.9895390868186951
25,25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,POS,2,POS,0.9640696048736572
26,26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,POS,2,POS,0.9849578142166138
27,27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,POS,2,POS,0.9528107643127441
28,28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,POS,2,POS,0.9691564440727234
29,29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,POS,2,POS,0.9917942881584167
30,30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,POS,2,POS,0.9831899404525757
31,31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,POS,2,POS,0.5627154111862183
32,32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,No emotion toward brand or product,NEU,1,POS,0.5659891963005066
33,33,Anyone at  #sxsw want to sell their old iPad?,,No emotion toward brand or product,NEU,1,NEU,0.7692707180976868
34,34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,No emotion toward brand or product,NEU,1,NEU,0.5573737621307373
35,35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,No emotion toward brand or product,NEU,1,POS,0.7620515823364258
36,36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,POS,2,POS,0.9901221394538879
37,37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,No emotion toward brand or product,NEU,1,NEU,0.6879938244819641
38,38,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,NEG,0,NEG,0.7844844460487366
39,39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,No emotion toward brand or product,NEU,1,NEU,0.7439492344856262
40,40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,POS,2,POS,0.9796445369720459
41,41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",,No emotion toward brand or product,NEU,1,NEU,0.746162474155426
42,42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,,No emotion toward brand or product,NEU,1,POS,0.5015919208526611
43,43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,No emotion toward brand or product,NEU,1,POS,0.8851540684700012
44,44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product,NEU,1,POS,0.5554537177085876
45,45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion,POS,2,POS,0.6928038597106934
46,46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,Positive emotion,POS,2,NEU,0.9486846327781677
47,47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,POS,2,POS,0.9180150628089905
48,48,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,,No emotion toward brand or product,NEU,1,NEU,0.8350062370300293
49,49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive emotion,POS,2,POS,0.9863986968994141
50,50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product,NEU,1,NEG,0.7288364768028259
51,51,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,No emotion toward brand or product,NEU,1,NEU,0.6379771828651428
52,52,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,NEU,1,NEU,0.9523299336433411
53,53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,No emotion toward brand or product,NEU,1,POS,0.935853898525238
54,54,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,,No emotion toward brand or product,NEU,1,POS,0.7186537384986877
55,55,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive emotion,POS,2,POS,0.8268662691116333
56,56,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product,NEU,1,NEU,0.6537898182868958
57,57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,POS,2,POS,0.7520264387130737
58,58,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,No emotion toward brand or product,NEU,1,NEU,0.9263817071914673
59,59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,No emotion toward brand or product,NEU,1,POS,0.9743180871009827
60,60,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,No emotion toward brand or product,NEU,1,POS,0.8903772234916687
61,61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product,NEU,1,NEU,0.7206090688705444
62,62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,POS,2,POS,0.9081010818481445
63,63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,NEU,1,POS,0.8880143761634827
64,64,Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion,NEG,0,NEU,0.7834356427192688
65,65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,No emotion toward brand or product,NEU,1,NEG,0.7365807294845581
66,66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,No emotion toward brand or product,NEU,1,POS,0.9567164778709412
67,67,attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,NEG,0,NEU,0.8605505228042603
68,68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion,NEG,0,NEG,0.8255593776702881
69,69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,POS,2,POS,0.9831846356391907
70,70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product,NEU,1,POS,0.8468332886695862
71,71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,No emotion toward brand or product,NEU,1,NEU,0.5649324655532837
72,72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,POS,2,POS,0.9860338568687439
73,73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,No emotion toward brand or product,NEU,1,POS,0.5617555975914001
74,74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,No emotion toward brand or product,NEU,1,NEG,0.598649799823761
75,75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,POS,2,POS,0.9907310605049133
76,76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,POS,2,POS,0.47177964448928833
77,77,I worship @mention {link} #SXSW,,No emotion toward brand or product,NEU,1,POS,0.9826135039329529
78,78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,No emotion toward brand or product,NEU,1,POS,0.8503797054290771
79,79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,No emotion toward brand or product,NEU,1,NEU,0.5232986807823181
80,80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,POS,2,POS,0.8637704849243164
81,81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,POS,2,NEU,0.4844242334365845
82,82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product,NEU,1,POS,0.9532328248023987
83,83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,POS,2,POS,0.9745702743530273
84,84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,POS,2,POS,0.9923302531242371
85,85,Stay tune @mention showcase #H4ckers {link} #SXSW,,No emotion toward brand or product,NEU,1,NEU,0.8211569786071777
86,86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,No emotion toward brand or product,NEU,1,POS,0.949654757976532
87,87,Thank you @mention for an awesome #sxsw party! {link},,No emotion toward brand or product,NEU,1,POS,0.9923593401908875
88,88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,No emotion toward brand or product,NEU,1,NEU,0.6442938446998596
89,89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,POS,2,POS,0.9707186818122864
91,91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product,NEU,1,POS,0.9662624001502991
92,92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,NEG,0,NEG,0.5471974611282349
93,93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,No emotion toward brand or product,NEU,1,NEU,0.5407156944274902
94,94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,No emotion toward brand or product,NEU,1,NEU,0.9294359087944031
95,95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,POS,2,POS,0.9871899485588074
96,96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,POS,2,POS,0.9347450733184814
97,97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,No emotion toward brand or product,NEU,1,POS,0.9831151366233826
98,98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,POS,2,POS,0.9497619271278381
99,99,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,No emotion toward brand or product,NEU,1,POS,0.9580114483833313
100,100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,No emotion toward brand or product,NEU,1,NEU,0.611210823059082
101,101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,POS,2,POS,0.8347837924957275
103,103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,Negative emotion,NEG,0,NEU,0.5690271258354187
104,104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,POS,2,POS,0.8048837780952454
105,105,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,No emotion toward brand or product,NEU,1,POS,0.7886916399002075
106,106,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,Positive emotion,POS,2,NEU,0.7691105008125305
107,107,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,No emotion toward brand or product,NEU,1,POS,0.8048840761184692
108,108,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,No emotion toward brand or product,NEU,1,NEU,0.7464826703071594
109,109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,POS,2,POS,0.5388719439506531
110,110,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,No emotion toward brand or product,NEU,1,POS,0.9678993225097656
111,111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,POS,2,POS,0.9646803140640259
112,112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,Positive emotion,POS,2,POS,0.8342743515968323
113,113,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,No emotion toward brand or product,NEU,1,NEU,0.5547602772712708
114,114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,POS,2,POS,0.6855902671813965
115,115,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,No emotion toward brand or product,NEU,1,POS,0.5725952386856079
116,116,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,POS,2,POS,0.6100365519523621
117,117,"At #SXSW, #Apple schools the marketing experts {link}",,No emotion toward brand or product,NEU,1,POS,0.633851170539856
118,118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,POS,2,NEU,0.5169839859008789
119,119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,POS,2,POS,0.9844725728034973
120,120,ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,POS,2,POS,0.9852801561355591
121,121,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,Positive emotion,POS,2,POS,0.9883245229721069
122,122,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",,No emotion toward brand or product,NEU,1,POS,0.893689751625061
123,123,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,,No emotion toward brand or product,NEU,1,POS,0.5544379353523254
124,124,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,POS,2,POS,0.9509066939353943
125,125,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,,No emotion toward brand or product,NEU,1,POS,0.8109943270683289
126,126,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,POS,2,POS,0.9802963733673096
127,127,I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion,POS,2,POS,0.9735122323036194
128,128,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion,POS,2,POS,0.9693095088005066
129,129,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",,No emotion toward brand or product,NEU,1,POS,0.7245479822158813
130,130,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",,No emotion toward brand or product,NEU,1,NEU,0.7368146181106567
131,131,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,Positive emotion,POS,2,NEU,0.5436573028564453
132,132,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,,No emotion toward brand or product,NEU,1,NEU,0.5436573028564453
133,133,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",,No emotion toward brand or product,NEU,1,NEU,0.6926422119140625
134,134,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",,No emotion toward brand or product,NEU,1,NEU,0.7473663687705994
135,135,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive emotion,POS,2,NEU,0.8320195078849792
136,136,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion,POS,2,POS,0.9594460129737854
137,137,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,,No emotion toward brand or product,NEU,1,POS,0.9224401712417603
138,138,Any other #Sxsw accounts I need to follow or apps to download for iPhone?,,No emotion toward brand or product,NEU,1,NEU,0.6320274472236633
139,139,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,,No emotion toward brand or product,NEU,1,POS,0.6691890358924866
140,140,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},,No emotion toward brand or product,NEU,1,POS,0.5194364190101624
141,141,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,,No emotion toward brand or product,NEU,1,POS,0.6913989782333374
142,142,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive emotion,POS,2,POS,0.9892544746398926
143,143,Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive emotion,POS,2,NEU,0.7496930956840515
144,144,Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,,No emotion toward brand or product,NEU,1,POS,0.8760775327682495
145,145,ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,Positive emotion,POS,2,POS,0.9801070690155029
146,146,Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive emotion,POS,2,POS,0.9712100028991699
147,147,#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,,No emotion toward brand or product,NEU,1,POS,0.6953083276748657
148,148,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,,No emotion toward brand or product,NEU,1,POS,0.5409221053123474
149,149,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,iPad,Positive emotion,POS,2,NEG,0.9179617762565613
150,150,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,iPad,Positive emotion,POS,2,NEG,0.9496921300888062
151,151,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,Positive emotion,POS,2,NEU,0.7336394190788269
152,152,@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,,No emotion toward brand or product,NEU,1,POS,0.5155559182167053
153,153,Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,,No emotion toward brand or product,NEU,1,NEU,0.6542065739631653
154,154,Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,,No emotion toward brand or product,NEU,1,NEU,0.5847765207290649
155,155,Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,,No emotion toward brand or product,NEU,1,POS,0.5680996179580688
156,156,#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,Positive emotion,POS,2,POS,0.9893361330032349
157,157,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,,Positive emotion,POS,2,POS,0.6367343068122864
158,158,"More free #SXSW mp3 downloads, this time from iTunes: {link}",,No emotion toward brand or product,NEU,1,POS,0.6748379468917847
159,159,Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,,No emotion toward brand or product,NEU,1,NEU,0.6817143559455872
160,160,@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,,No emotion toward brand or product,NEU,1,NEU,0.568936824798584
161,161,The Apple #SXSW store still has iPad 2's and short lines.,iPad,Positive emotion,POS,2,NEU,0.6506527066230774
162,162,Essential #sxsw tools: {link},,No emotion toward brand or product,NEU,1,POS,0.8183988928794861
163,163,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,Positive emotion,POS,2,NEU,0.6384393572807312
164,164,"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",,No emotion toward brand or product,NEU,1,NEU,0.807395875453949
165,165,Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,,No emotion toward brand or product,NEU,1,POS,0.7995964288711548
166,166,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive emotion,POS,2,NEU,0.5277677178382874
167,167,Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),,No emotion toward brand or product,NEU,1,NEU,0.6703720092773438
168,168,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive emotion,POS,2,POS,0.6341105699539185
169,169,Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,,No emotion toward brand or product,NEU,1,POS,0.509843111038208
170,170,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,Negative emotion,NEG,0,NEG,0.9738567471504211
171,171,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,Positive emotion,POS,2,POS,0.9846497178077698
172,172,ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,Negative emotion,NEG,0,NEG,0.9637391567230225
173,173,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,Positive emotion,POS,2,NEU,0.6671969890594482
