,Unnamed: 0,index,tweet_text,emotion_in_tweet_is_directed_at,label,tweet_text_cln,alt_label,class,pred_label,pred_scores
44,45,45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion,'s Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link},POS,2,NEU,0.5516484379768372
45,46,46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,Positive emotion,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app {link},POS,2,NEU,0.8841595649719238
46,47,47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For | {link},POS,2,NEU,0.5990154147148132
47,48,48,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,,No emotion toward brand or product,Orly....? ÛÏ@mention Google set to launch new social network today at,NEU,1,NEU,0.6854710578918457
48,49,49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive emotion,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight.,POS,2,POS,0.9386399388313293
49,50,50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform,NEU,1,NEU,0.5070433020591736
50,51,51,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,No emotion toward brand or product,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM",NEU,1,POS,0.5513233542442322
51,52,52,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,÷¼ WHAT? ÷_ {link} ã_,NEU,1,NEU,0.686072051525116
52,53,53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,No emotion toward brand or product,".@mention on the location-based 'fast, fun and future' - {link} (via",NEU,1,POS,0.7089938521385193
53,54,54,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,,No emotion toward brand or product,ÛÏ@mention Will Connect the Digital &amp; Physical Worlds Through Mobile - {link},NEU,1,NEU,0.7893471717834473
54,55,55,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive emotion,ÛÏ@mention talking about {link} - Google's effort to allow users to have open systems,POS,2,POS,0.5654380917549133
55,56,56,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product,"{link} RT &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, panel at",NEU,1,NEU,0.7453168034553528
56,57,57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,{link} RT 1st stop on the &amp; hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,POS,2,POS,0.5193116664886475
57,58,58,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,No emotion toward brand or product,{link} RT Those at check out the Holler Gram ipad app from {link},NEU,1,NEU,0.9078294038772583
58,59,59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,No emotion toward brand or product,&amp; having fun at [pic] {link},NEU,1,POS,0.9061922430992126
59,60,60,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,No emotion toward brand or product,&quot;via : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! &quot;,NEU,1,POS,0.5922200679779053
60,61,61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product,"{link} spec for recipes on the web, now in google search: {link}",NEU,1,NEU,0.8124595880508423
61,62,62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,RT Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link},POS,2,POS,0.6536952257156372
62,63,63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,"RT I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up",NEU,1,POS,0.9080796241760254
63,64,64,Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion,Again? RT Line at the Apple store is insane..,NEG,0,NEU,0.37759238481521606
64,65,65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,No emotion toward brand or product,Agree. RT Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album.,NEU,1,NEU,0.4958075284957886
65,66,66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,No emotion toward brand or product,At / wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,NEU,1,POS,0.5259094834327698
66,67,67,attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,attending iPad design headaches {link},NEG,0,NEU,0.7314690351486206
67,68,68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion,"Boooo! RT Flipboard is developing an iPhone version, not Android, says",NEG,0,NEU,0.5877528786659241
68,69,69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,Check out &amp; in line for their iPad 2 in Austin. Power to them! {link},POS,2,POS,0.9453216195106506
69,70,70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product,Check! RT giving added value to location based services needs to battle check-in fatigue,NEU,1,POS,0.591943085193634
70,71,71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,No emotion toward brand or product,Chilcott: stand talking with Blogger staff. Too late to win competition for best tweet mentioning So no t-shirt.,NEU,1,NEG,0.6838637590408325
71,72,72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,"Do it. RT Come party w/ Google tonight at {link} - Bands, food, art, ice cream, nifty interactive maps!",POS,2,POS,0.9342970848083496
72,73,73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,No emotion toward brand or product,Gowalla's promises to launch Foursquare check-in + Groupon rewards-type service at Finger's crossed. {link},NEU,1,NEU,0.713005781173706
73,74,74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,No emotion toward brand or product,"Ha.ha. RT News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",NEU,1,NEG,0.7199334502220154
74,75,75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,Holla! RT At google party. Best ever! Get your butt over here.,POS,2,POS,0.938596248626709
75,76,76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,I love my iPhone case from but I can't get my phone out of it,POS,2,POS,0.9321606755256653
76,77,77,I worship @mention {link} #SXSW,,No emotion toward brand or product,I worship {link},NEU,1,POS,0.5037171840667725
77,78,78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,No emotion toward brand or product,"iPad2? RT Droid &amp; Mac here :) RT My confession, using laptop, iPad &amp; blackberry to follow",NEU,1,POS,0.6650320887565613
78,79,79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,No emotion toward brand or product,"Launching RT Denies Social Network Called Circles Will Debut Today, Despite Report {link}",NEU,1,NEU,0.6789094805717468
79,80,80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,New Post: iPhone app makes it easy to connect on all social networks with people you meet {link},POS,2,POS,0.9365121126174927
80,81,81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,Nice that iPhone app is behaving today. Crashes yesterday were ridiculous.,POS,2,POS,0.5346108675003052
81,82,82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product,Nice! RT Apple opening popup store for iPad launch in downtown Austin during {link} via,NEU,1,POS,0.9434098601341248
82,83,83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,"Nice!! RT Hey, Apple fans! Get a peek at the space that's slated to be a pop-up Apple Store tomorrow: {link}",POS,2,POS,0.9719821214675903
83,84,84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,"one thing is doing so great is get a great, down to earth face to Google as a company - You can only love her",POS,2,POS,0.9866979718208313
84,85,85,Stay tune @mention showcase #H4ckers {link} #SXSW,,No emotion toward brand or product,Stay tune showcase {link},NEU,1,NEU,0.848063051700592
85,86,86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,No emotion toward brand or product,Thank you for the preso . Here's their deck {link},NEU,1,POS,0.9106221795082092
86,87,87,Thank you @mention for an awesome #sxsw party! {link},,No emotion toward brand or product,Thank you for an awesome party! {link},NEU,1,POS,0.9920234680175781
87,88,88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,No emotion toward brand or product,Thanks RT If you're trying to contact friends or family in has created a person finder: {link},NEU,1,NEU,0.7692672610282898
88,89,89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,Thanks to for her mention of our new iPad apps being showcased at the Conf. {link},POS,2,POS,0.9604014158248901
89,91,91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product,Thanks to for publishing the news of our new medical Apps in the conf. blog {link},NEU,1,POS,0.9528829455375671
90,92,92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,What !?!? does not provide iPhone chargers?!? I've changed my mind about going next year!,NEG,0,NEG,0.8271108865737915
91,93,93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,No emotion toward brand or product,Wonder if &amp; will be in the apple flashmob: tcrn.ch/fcs45j,NEU,1,NEU,0.557774007320404
92,94,94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,No emotion toward brand or product,Wonder if is putting tips from the API...,NEU,1,NEU,0.878162145614624
93,95,95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,"XMAS!! RT Shiny new apps, a new book, pop-up iPad 2 stores... is Christmas for nerds.",POS,2,POS,0.9652491807937622
94,96,96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,Yai!!! RT New for now in the App Store includes UberGuide to sponsored by (cont) {link},POS,2,POS,0.5787360668182373
95,97,97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,No emotion toward brand or product,"Yes!!! RT hey , i've got another gem for you --&gt; free sxsw {link}",NEU,1,POS,0.9141550064086914
96,98,98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,"Fast, Fun &amp; Future: of Google presenting at on search, local and mobile",POS,2,POS,0.931883692741394
97,99,99,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,No emotion toward brand or product,GSD&amp;M &amp; Google's Industry Party Tonight - See u there! {link},NEU,1,POS,0.7859305143356323
98,100,100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,No emotion toward brand or product,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt",NEU,1,NEU,0.558758556842804
99,101,101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,Headline: &quot;#iPad 2 is the Must-Have Gadget at Hmm... I could have seen that one coming! {link},POS,2,POS,0.7543883323669434
100,103,103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,Negative emotion,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'.,NEG,0,NEU,0.687328577041626
101,104,104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future.",POS,2,POS,0.7936323881149292
102,105,105,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,No emotion toward brand or product,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. (via",NEU,1,POS,0.790409505367279
103,106,106,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,Positive emotion,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, panel at",POS,2,NEU,0.746071994304657
104,107,107,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,No emotion toward brand or product,"Attending &quot;left brain search = Google, Right brain search = X&quot; -- talking about the future of search engines at",NEU,1,NEU,0.7900173664093018
105,108,108,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,No emotion toward brand or product,opens &quot;Mobile Park&quot; &amp; Content Incubator at {link} constructs &quot;pop-up&quot; store {link},NEU,1,NEU,0.895056962966919
106,109,109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot;",POS,2,NEU,0.6480122804641724
107,110,110,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,No emotion toward brand or product,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days.,NEU,1,NEU,0.5665843486785889
108,111,111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. via,POS,2,NEU,0.5629040598869324
109,112,112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,Positive emotion,Spark for is up for a award at read about it here: {link},POS,2,NEU,0.7675502896308899
110,113,113,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,No emotion toward brand or product,"Unboxing. Apple Store, SXSW {link}",NEU,1,NEU,0.5733431577682495
111,114,114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,"and iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma.",POS,2,POS,0.694579541683197
112,115,115,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,No emotion toward brand or product,At schools the experts | SXSW - CNET Blogs {link},NEU,1,NEU,0.8376456499099731
113,116,116,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,At schools the marketing experts - {link},POS,2,NEU,0.8652517795562744
114,117,117,"At #SXSW, #Apple schools the marketing experts {link}",,No emotion toward brand or product,At schools the marketing experts {link},NEU,1,NEU,0.8515233993530273
115,118,118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,"Temporary store is def not a tent, it's a powerhouse gym {link}",POS,2,NEU,0.7834373116493225
